fold,start_date,end_date,train_rows,validation_rows,model_MAE,model_RMSE,model_WAPE,lag7_MAE,lag7_RMSE,rmse_improvement_vs_lag7
1,2016-03-28,2016-04-24,371400,5600,1.072846013189959,1.830647011548037,0.8337410038667459,1.4121428571428571,2.7391995702603134,0.33168541955704745
2,2016-02-29,2016-03-27,365800,5600,1.1339166542479915,1.999007852773661,0.7482834390512317,1.4157142857142857,2.6095292405226767,0.2339584390427183
3,2016-02-01,2016-02-28,360200,5600,1.1706890660889648,2.0297790775085383,0.8179486924639054,1.510357142857143,2.8956247783756197,0.2990186115732859
